Name Longitude Latitude
Pedicularis_axillaris 99.56834 27.8012
Pedicularis_axillaris 99.92119 27.80882
Pedicularis_axillaris 100.0513 25.80877
Pedicularis_axillaris 100.3585 27.3627
Pedicularis_axillaris 100.3752 27.2596
Pedicularis_axillaris 99.78539 27.98663
Pedicularis_axillaris 99.8153 28.12344
Pedicularis_axillaris 100.0197 28.25469
Pedicularis_axillaris 100.3698 28.3707
Pedicularis_axillaris 100.2534 28.64073
Pedicularis_axillaris 99.82493 28.59785
Pedicularis_axillaris 100.1931 29.11952
Pedicularis_axillaris 99.41751 29.90065
Pedicularis_axillaris 99.35093 30.29577
Pedicularis_axillaris 100.8623 29.96191
Pedicularis_axillaris 101.4426 30.04596
Pedicularis_axillaris 101.9682 29.88111
Pedicularis_axillaris 102.6576 30.93737
Pedicularis_axillaris 100.1228 29.14758
Pedicularis_axillaris 98.96727 28.43349
Pedicularis_axillaris 96.99563 31.14938
Pedicularis_axillaris 96.84869 29.22916
Pedicularis_axillaris 100.2553 30.19689
Pedicularis_axillaris 100.1909 28.55306
Pedicularis_longiflora 91.37851 29.85467
Pedicularis_longiflora 94.46145 29.55094
Pedicularis_longiflora 102.3687 32.58586
Pedicularis_longiflora 98.9978 28.44343
Pedicularis_longiflora 98.98252 28.38905
Pedicularis_longiflora 99.67245 27.84546
Pedicularis_longiflora 99.74281 27.6345
Pedicularis_longiflora 99.93275 27.82131
Pedicularis_longiflora 99.92041 28.22389
Pedicularis_longiflora 99.77208 28.2941
Pedicularis_longiflora 99.84641 28.59142
Pedicularis_longiflora 99.83598 28.65902
Pedicularis_longiflora 100.374 28.35449
Pedicularis_longiflora 100.717 28.41719
Pedicularis_longiflora 100.0871 27.29504
Pedicularis_longiflora 101.1727 28.13852
Pedicularis_longiflora 99.92732 27.6205
Pedicularis_longiflora 99.84646 27.57452
Pedicularis_longiflora 101.8963 29.86328
Pedicularis_longiflora 101.2714 30.03075
Pedicularis_longiflora 100.8824 29.97963
Pedicularis_longiflora 100.1454 29.14431
Pedicularis_longiflora 93.84023 29.77762
Pedicularis_longiflora 94.11721 29.17067
Pedicularis_longiflora 94.70673 29.4653
Pedicularis_longiflora 97.01008 32.99676
Pedicularis_longiflora 86.45457 28.63501
Pedicularis_longiflora 87.90832 29.05953
Pedicularis_longiflora 96.8691 31.09014
Pedicularis_longiflora 96.63942 31.14238
Pedicularis_longiflora 96.39081 31.07676
Pedicularis_longiflora 95.60622 31.37759
Pedicularis_longiflora 94.69228 31.58068
Pedicularis_longiflora 93.59576 31.74433
Pedicularis_longiflora 92.58697 29.11133
Pedicularis_longiflora 92.0716 29.13395
Pedicularis_longiflora 93.29776 28.98651
Pedicularis_longiflora 87.40254 28.29316
Pedicularis_longiflora 87.61438 28.40295
Pedicularis_longiflora 87.26561 28.78928
Pedicularis_longiflora 91.81564 27.90993
Pedicularis_longiflora 92.27551 28.41963
Pedicularis_longiflora 103.0228 32.05587
Pedicularis_longiflora 91.23913 29.27549
Pedicularis_longiflora 83.37511 30.00412
Pedicularis_longiflora 87.4015 27.93079
Pedicularis_longiflora 88.92842 27.55019
Pedicularis_longiflora 91.76436 29.16237
Pedicularis_longiflora 99.15173 31.90938
Pedicularis_longiflora 97.59708 32.56644
Pedicularis_longiflora 99.95122 38.38066
Pedicularis_longiflora 99.7397 36.58435
Pedicularis_longiflora 99.6913 37.67159
Pedicularis_longiflora 90.51663 30.06927
Pedicularis_longiflora 101.6732 36.91238
Pedicularis_longiflora 92.60213 29.28141
Pedicularis_longiflora 93.19549 29.21701
Pedicularis_longiflora 100.9189 31.64078
Pedicularis_longiflora 102.7808 33.88197
Pedicularis_longiflora 102.2048 33.3822
Pedicularis_longiflora 101.8396 30.28517
Pedicularis_henryi 104.882 27.38316
Pedicularis_henryi 88.52204 28.27063
Pedicularis_henryi 103.0562 25.42505
Pedicularis_henryi 102.7229 25.37652
Pedicularis_henryi 101.8138 24.39213
Pedicularis_henryi 102.5269 24.1581
Pedicularis_henryi 103.8239 27.71854
Pedicularis_henryi 103.4675 26.80385
Pedicularis_henryi 102.3915 29.18127
Pedicularis_henryi 102.0313 31.37188
Pedicularis_henryi 102.6819 30.0295
Pedicularis_henryi 102.3371 30.01764
Pedicularis_henryi 99.52127 26.37032
Pedicularis_henryi 100.8283 26.56559
Pedicularis_henryi 103.2459 24.95273
Pedicularis_henryi 102.6119 24.89876
Pedicularis_henryi 104.4123 26.74875
Pedicularis_henryi 105.6731 28.7339
Pedicularis_henryi 102.749 25.19437
Pedicularis_mychophila 93.07236 28.62898
Pedicularis_mychophila 94.91639 29.49473
Pedicularis_mychophila 94.8473 29.42584
Pedicularis_mychophila 94.77432 29.62837
Pedicularis_rhizomatosa 94.72119 29.33276
Pedicularis_rhizomatosa 98.81204 28.35917
Pedicularis_rhizomatosa 96.99241 31.07805
Pedicularis_obliquigaleata 99.82406 28.61772
Pedicularisobliquigaleata 100.2562 28.47596
Pedicularis_torta 102.3649 30.79593
Pedicularis_torta 102.8303 31.03868
Pedicularis_torta 102.0165 29.84114
Pedicularis_torta 102.2121 30.19884
Pedicularis_torta 103.1935 35.3263
Pedicularis_torta 103.3446 34.59609
Pedicularis_torta 101.1694 33.18573
Pedicularis_torta 102.4081 31.52919
Pedicularis_torta 102.9509 35.40569
Pedicularis_torta 104.07 32.92409
Pedicularis_torta 103.6857 34.9418
Pedicularis_torta 101.8924 32.7629
Pedicularis_torta 103.209 34.2135
Pedicularis_torta 103.8565 32.76345
Pedicularis_torta 103.6148 32.51703
Pedicularis_torta 103.8167 33.28006
Pedicularis_torta 103.684 31.99253
Pedicularis_torta 103.9805 35.00714
Pedicularis_torta 102.484 31.245
Pedicularis_torta 103.3853 29.51394
Pedicularis_torta 103.7269 32.36789
Pedicularis_torta 103.699 32.96912
Pedicularis_torta 103.4057 33.6966
Pedicularis_torta 102.6032 30.86324
Pedicularis_torta 102.2979 31.69273
Pedicularis_torta 103.0345 34.13206
Pedicularis_torta 102.6236 31.9939
Pedicularis_torta 103.9326 34.23927
Pedicularis_torta 102.6159 36.17713
Pedicularis_torta 104.1156 33.68343
Pedicularis_torta 103.5891 34.40831
Pedicularis_torta 103.4941 34.03808
Pedicularis_torta 107.6435 33.8953
